"","YEAR","VOL_DUFF_ACRE","VOL_LITTER_ACRE","VOL_1HR_ACRE","VOL_10HR_ACRE","VOL_100HR_ACRE","VOL_1000HR_ACRE","VOL_PILE_ACRE","VOL_ACRE","BIO_DUFF_ACRE","BIO_LITTER_ACRE","BIO_1HR_ACRE","BIO_10HR_ACRE","BIO_100HR_ACRE","BIO_1000HR_ACRE","BIO_PILE_ACRE","BIO_ACRE","CARB_DUFF_ACRE","CARB_LITTER_ACRE","CARB_1HR_ACRE","CARB_10HR_ACRE","CARB_100HR_ACRE","CARB_1000HR_ACRE","CARB_PILE_ACRE","CARB_ACRE","VOL_DUFF_ACRE_SE","VOL_LITTER_ACRE_SE","VOL_1HR_ACRE_SE","VOL_10HR_ACRE_SE","VOL_100HR_ACRE_SE","VOL_1000HR_ACRE_SE","VOL_PILE_ACRE_SE","VOL_ACRE_SE","BIO_DUFF_ACRE_SE","BIO_LITTER_ACRE_SE","BIO_1HR_ACRE_SE","BIO_10HR_ACRE_SE","BIO_100HR_ACRE_SE","BIO_1000HR_ACRE_SE","BIO_PILE_ACRE_SE","BIO_ACRE_SE","CARB_DUFF_ACRE_SE","CARB_LITTER_ACRE_SE","CARB_1HR_ACRE_SE","CARB_10HR_ACRE_SE","CARB_100HR_ACRE_SE","CARB_1000HR_ACRE_SE","CARB_PILE_ACRE_SE","CARB_ACRE_SE","nPlots_DWM","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2010,NA,NA,4.97359663861454,43.9799503303055,261.798381847613,502.130252421875,0,812.882181238408,15.7907098265896,14.9630488439306,0.0595631762483395,0.532795402563058,3.04961272661764,4.42943876302655,0,38.8251687389758,7.8953549132948,7.48152442196532,0.0297815881241697,0.266397701281529,1.52480636330882,2.24045735997947,0,19.4383223479541,NA,NA,1.49651269650715e-06,2.70779769821181e-06,0,NA,NA,NA,NA,1.40694093781932e-06,0,1.74622624397341e-06,0,2.65688201515014e-06,NA,2.16891533578653e-06,NA,1.40694093781932e-06,0,1.74622624397341e-06,0,NA,NA,1.0830217544639e-06,1,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2
"2",2010,NA,NA,10.8949481397373,70.4200472476688,191.169449770269,486.078517791015,0,758.56296294869,13.7613038658541,4.67040330949419,0.117132284401,0.781072778616795,2.15233858575978,3.9508226635006,0,25.4330734876264,6.88065193292703,2.3352016547471,0.0585661422005,0.390536389308398,1.07616929287989,2.00152688507562,0,12.7426522971385,NA,NA,14.5895989867574,11.0510851887734,8.00941748611909,17.5010718580615,NA,10.4549680099902,15.55144404795,16.5589880155243,12.24660204223,9.41679449239214,8.70833629317438,14.882815549908,NA,10.1348323539512,15.55144404795,16.5589880155243,12.24660204223,9.41679449239214,8.70833629317438,14.3695905623215,NA,10.0872957293901,18,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3
"3",2010,NA,NA,9.41351829104666,31.6954542935921,152.148923461339,265.678123443581,0,458.936019489559,10.5458677481658,3.52716667670616,0.114952287625148,0.386519260587103,1.84761772622268,2.40996265971985,0,18.8320863590268,5.27293387408292,1.76358333835308,0.057476143812574,0.193259630293552,0.923808863111341,1.19920917556117,0,9.41027102521464,NA,NA,6.68739772864451,16.0864357851731,14.9466232811096,19.0649267806468,NA,8.65222191125065,23.3972879164531,10.0372594345106,5.03929608354129,17.3222236850679,12.057143922105,23.3124995338982,NA,11.5094529788358,23.3972879164531,10.0372594345106,5.03929608354129,17.3222236850679,12.057143922105,23.5799317204273,NA,11.5059047847757,4,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5
"4",2010,NA,NA,11.6303762310601,107.820186024527,443.980068834994,349.223491684375,0,912.654122774956,5.5993799132948,1.00441365606936,0.115592756475978,1.07081454083897,4.40252111633592,2.53614822084819,0,14.7288702038632,2.7996899566474,0.502206828034682,0.0577963782379889,0.535407270419486,2.20126055816796,1.28170944899542,0,7.37807044050293,NA,NA,9.25596993912,22.7336472243309,50.94566785653,51.2299655449124,NA,47.1902377680816,27.2317075233805,26.2231257632552,8.91964461075294,22.4208484720686,50.7471919674747,51.0448800501243,NA,13.5171970650187,27.2317075233805,26.2231257632552,8.91964461075294,22.4208484720686,50.7471919674747,50.5994179177442,NA,13.5091664611609,2,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6
"5",2010,NA,NA,7.70604884066337,69.3722724356349,242.073922227139,849.056493702476,0,1168.20873720591,11.2574956144962,3.65313758325266,0.0890062787538475,0.820841003963014,2.93154268677397,7.74010630542011,0,26.4921294726598,5.62874780724808,1.82656879162633,0.0445031393769237,0.410420501981507,1.46577134338699,3.92817745636033,0,13.3041890399802,NA,NA,18.0308010827338,16.0895764918946,13.4605923085344,19.4429130117961,NA,14.4129017185953,14.7534674306015,14.6705376698849,13.9286563713399,13.6216007546075,15.6424099712725,15.8989734344787,NA,6.265722237174,14.7534674306015,14.6705376698849,13.9286563713399,13.6216007546075,15.6424099712725,16.2642741414515,NA,6.38393477486984,12,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8
"6",2010,NA,NA,5.65122546193554,47.3693000328787,78.0851302556086,193.725090934375,0,324.830746684798,11.8659559248555,9.88578305635838,0.0704862226780477,0.590824601267488,0.973934930770943,1.29793984856478,0,24.6849245844951,5.93297796242774,4.94289152817919,0.0352431113390239,0.295412300633744,0.486967465385472,0.662526811469208,0,12.3560191794344,NA,NA,2.30438968113961e-06,NA,2.43590068011715e-06,NA,NA,2.56579172225502e-06,2.83367602509746e-06,1.862955488017e-06,NA,1.59070399295334e-06,NA,2.04803969185205e-06,NA,2.72427608227297e-06,2.83367602509746e-06,1.862955488017e-06,NA,1.59070399295334e-06,NA,0,NA,0,1,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9
"7",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,864898410.969,533518.615687,227,423,"M211","M211B","M211Ba","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","New England Piedmont","Northern Piedmont",0,213720.99805,86489.8193562,10
"8",2010,NA,NA,2.95744536492802,15.2551927028356,54.4855289882927,854.593294121875,0,927.291461177931,7.82023,4.16406375,0.0438904353326936,0.226397098236127,0.808601103840331,10.1065227697314,0,23.1697051571405,3.910115,2.082031875,0.0219452176663468,0.113198549118064,0.404300551920166,4.96230267993811,0,11.4938938736427,NA,NA,2.46075867355889e-06,2.20342065655144e-06,3.02231386609005e-06,1.78000249081203e-06,NA,1.64045314321762e-06,NA,2.47162957343305e-06,0,NA,1.83715502147347e-06,1.66296596203059e-06,NA,0,NA,2.47162957343305e-06,0,NA,1.83715502147347e-06,3.38689605301545e-06,NA,2.53266975085328e-06,1,517488463.567,400094.240746,252,434,"M211","M211C","M211Ca","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","Green-Taconic-Berkshire Mountains","Northern Green Mountain",0,127874.18151,51748.8452702,11
"9",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17916319.7071,467338.758145,268,463,"211","211E","211Ec","Humid Temperate","Warm Continental","Northeastern Mixed Forest","St. Lawrence and Champlain Valley","Champlain Glacial Lake and Marine Plains",0,4427.21375746,1791.62984277,12
"10",2010,NA,NA,6.74594253712799,50.0591422350057,99.4297836687383,309.087172017105,0,465.322040457977,17.5813875657895,9.62500868421053,0.0847600143917585,0.645233648104698,1.26763203382576,2.91147373355378,0,32.115495679876,8.79069378289474,4.81250434210526,0.0423800071958793,0.322616824052349,0.633816016912882,1.46521665523933,0,16.0672276284004,NA,NA,18.6638274622463,18.3672720096818,7.72055418929217,21.3749285367662,NA,14.214562908927,11.0936665129579,36.2261075493419,15.475948999562,18.4994533973664,8.68848464581651,22.3677271481459,NA,12.5419510508869,11.0936665129579,36.2261075493419,15.475948999562,18.4994533973664,8.68848464581651,22.6676488908428,NA,12.4888622033869,5,29490466371.9,973599.239888,310,523,"M211","M211A","M211Ad","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","White Mountains",1,677007.951605,273975.397697,13
