"","YEAR","NETVOL_ACRE","SAWVOL_ACRE","BIO_AG_ACRE","BIO_BG_ACRE","BIO_ACRE","CARB_AG_ACRE","CARB_BG_ACRE","CARB_ACRE","NETVOL_ACRE_SE","SAWVOL_ACRE_SE","BIO_AG_ACRE_SE","BIO_BG_ACRE_SE","BIO_ACRE_SE","CARB_AG_ACRE_SE","CARB_BG_ACRE_SE","CARB_ACRE_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"36",2003,1831.23176431334,892.173974231242,46.9282153728888,9.22438785521804,56.1526032281068,23.4641077064325,4.61219394780765,28.0763016542401,5.43054823361863,9.46149005472782,5.06122906357547,4.95547344445573,5.04238420110021,5.06122906074215,11.3366599076756,6.27291599625671,192,194,67705985195.9,2552005.1041,1060,1206,"M221","M221A","M221Aa","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Ridge and Valley",1,1554315.54628,629009.18509,37
"37",2003,2671.56602301921,1645.72896155159,61.5098196991775,12.0063257802045,73.516145479382,30.7549098704524,6.00316291262671,36.7580727830791,18.1675966066625,25.9571879884973,16.6263960105461,16.1183509142352,16.5418455858994,16.6263960062967,49.8833766903076,24.2853460886275,36,37,1465417881.38,756520.343672,1135,1289,"231","231I","231Ib","Humid Temperate","Subtropical","Southeastern Mixed Forest","Central Appalachian Piedmont","Lynchburg Belt",0,362112.572613,146541.759011,38
"38",2003,3061.80382584611,1725.36282022207,79.9465072269882,15.4519867368951,95.3984939638834,39.9732536368888,7.72599339200792,47.6992470288967,6.20506793288753,10.1467338729656,6.2523476518254,6.16531907295866,6.23822225734254,6.25234764735834,62.7676713733227,33.3711841630871,8,8,203773157.609,683810.759135,1225,1359,"M221","M221C","M221Cb","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Cumberland Mountains","Eastern Coal Fields",0,50353.8357549,20377.4743617,39
"39",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742220147.787,436121.44388,1232,1381,"M221","M221B","M221Be","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Allegheny Mountains","Western Allegheny Mountain and Valley",0,183406.661585,74222.0426347,40
"40",2003,2335.90199175177,1418.20897935782,52.8976473507495,10.6614011685588,63.5590485193083,26.4488236998464,5.33070060178508,31.7795243016315,17.4684097791519,32.4731788541084,15.2866138067764,13.4420327028424,14.9684734172362,15.2866137940151,69.2083877871014,36.7828399567081,14,14,528512343.335,497240.891198,1391,1511,"M221","M221D","M221Db","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Central Blue Ridge Mountains",0,130598.19039,52851.2125532,41
"41",2003,2656.7130898775,1628.07006362315,62.5496079745972,12.3755261980585,74.9251341726557,31.2748040082833,6.18776311933676,37.4625671276201,4.71012800295415,6.63154575001415,4.2565828535245,4.19628660432683,4.24460964722862,4.25658285132391,10.5068688976924,5.44771689174568,363,365,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"42",2003,1401.42556276439,0,35.5159456546581,7.17940047413852,42.6953461287967,17.7579728462092,3.58970026066944,21.3476731068787,NA,NA,1.90584617053418e-06,2.35701885076109e-06,0,NA,102.926769563912,59.6893936545429,1,1,47382559.6696,367672.584936,1521,1612,"221","221J","221Jc","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Holston Valley",0,11708.4878439,4738.25692275,44
"43",2003,2878.09795849564,1853.4669499637,65.9709890746582,13.0370243995111,79.0080134741693,32.9854945576165,6.5185122199665,39.504006777583,6.59491781901201,9.43623271371264,5.45518511811336,5.28773624319057,5.42587596109687,5.45518511477094,13.0228895220393,6.89215472642346,278,282,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"44",2003,2235.98675431934,1363.91268848659,57.0146318735045,11.3638787819927,68.3785106554973,28.5073159546045,5.68193940986213,34.1892553644666,14.5077554441521,20.5753396421205,14.7552601352782,14.3168186483948,14.6796981237571,14.7552601288104,42.8388055255119,22.3259851544588,21,22,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"45",2003,2235.24527248813,1122.17676557267,55.8246219637336,11.4328744010854,67.257496364819,27.9123110045382,5.71643722477433,33.6287482293125,16.1849721511874,10.5040796108993,17.5846486414508,16.9418992015583,17.4702831172112,17.5846486332439,47.57271494555,25.8286189347045,27,27,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"46",2003,1984.35689200268,1115.86590957099,49.7364731238065,10.0089862973631,59.7454594211696,24.8682365828906,5.0044931684696,29.8727297513602,14.7664708203593,19.0132216002505,14.7278624182597,14.5097662626932,14.6512614303349,14.7278624114993,54.0036816651699,27.8111221019417,20,20,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
